selected_order,ts_code,trade_date,total_mv,name,list_date,market_cap_rank_all_sh_sz_a,listing_age_eligible,market_cap_rank,selection_type,total_mv_cny_100m,listing_age_months_min,listing_cutoff_date
50,300394.SZ,20260813,28051658.2716,天孚通信,20150217,51,True,50,top_total_mv,2805.16582716,3,20260513
51,601869.SH,20260813,27942625.0301,长飞光纤,20180720,52,True,51,top_total_mv,2794.26250301,3,20260513
52,688795.SH,20260813,27464217.7542,摩尔线程,20251205,53,True,52,top_total_mv,2746.42177542,3,20260513
53,300476.SZ,20260813,26662951.624,胜宏科技,20150611,54,True,53,top_total_mv,2666.2951624,3,20260513
54,002379.SZ,20260813,26322858.764,宏桥控股,20100331,55,True,54,top_total_mv,2632.2858764,3,20260513
55,000338.SZ,20260813,26007064.006,潍柴动力,20070430,56,True,55,top_total_mv,2600.7064006,3,20260513
56,002916.SZ,20260813,25746735.1468,深南电路,20171213,57,True,56,top_total_mv,2574.67351468,3,20260513
57,688008.SH,20260813,25658149.836,澜起科技,20190722,58,True,57,top_total_mv,2565.8149836,3,20260513
58,300408.SZ,20260813,25637866.824,三环集团,20141203,59,True,58,top_total_mv,2563.7866824000002,3,20260513
59,600150.SH,20260813,25421548.7514,中国船舶,19980520,60,True,59,top_total_mv,2542.15487514,3,20260513
60,688820.SH,20260813,25216372.9917,盛合晶微,20260421,61,True,60,top_total_mv,2521.63729917,3,20260513
61,300274.SZ,20260813,24490847.4495,阳光电源,20111102,62,True,61,top_total_mv,2449.0847449499997,3,20260513
62,601816.SH,20260813,24316062.6618,京沪高铁,20200116,63,True,62,top_total_mv,2431.60626618,3,20260513
63,601225.SH,20260813,24315060.0,陕西煤业,20140128,64,True,63,top_total_mv,2431.506,3,20260513
64,601919.SH,20260813,23283887.5216,中远海控,20070626,65,True,64,top_total_mv,2328.38875216,3,20260513
65,002463.SZ,20260813,23219371.1976,沪电股份,20100818,66,True,65,top_total_mv,2321.93711976,3,20260513
66,002714.SZ,20260813,23178579.3415,牧原股份,20140128,67,True,66,top_total_mv,2317.85793415,3,20260513
67,600309.SH,20260813,22886877.8676,万华化学,20010105,68,True,67,top_total_mv,2288.68778676,3,20260513
68,688808.SH,20260813,22709851.92,联讯仪器,20260424,69,True,68,top_total_mv,2270.985192,3,20260513
69,000651.SZ,20260813,22540056.7018,格力电器,19961118,70,True,69,top_total_mv,2254.00567018,3,20260513
70,002938.SZ,20260813,22183461.2924,鹏鼎控股,20180918,71,True,70,top_total_mv,2218.3461292399998,3,20260513
71,000001.SZ,20260813,21831657.975,平安银行,19910403,72,True,71,top_total_mv,2183.1657975000003,3,20260513
72,000725.SZ,20260813,21707976.208,京东方A,20010112,73,True,72,top_total_mv,2170.7976208,3,20260513
73,600188.SH,20260813,21579231.8,兖矿能源,19980701,74,True,73,top_total_mv,2157.9231800000002,3,20260513
74,600919.SH,20260813,21452698.3405,江苏银行,20160802,75,True,74,top_total_mv,2145.26983405,3,20260513
75,002142.SZ,20260813,21322994.6932,宁波银行,20070719,76,True,75,top_total_mv,2132.29946932,3,20260513
